Rank,Site,Manufacturer,Computer,Country,Year,Total Cores,Rmax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Processor Speed (MHz),Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
231,Amazon Web Services,Self-made,"Amazon EC2 Cluster, Xeon X5570 2.95 Ghz, 10G Ethernet",United States,2010,7040,41820,82508,1487304,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,NOW - Intel,Amazon EC2 Cluster,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,10G Ethernet,North America,Americas
232,Saudi Aramco,ClusterVision/Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.93Ghz, Infiniband",Saudi Arabia,2009,4096,41770,48005,829248,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,Cluster,Industry,Energy,Infiniband,Infiniband,Western Asia,Asia
233,Financial Institute,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",France,2010,8432,41347,78586.2,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
234,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
235,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
236,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
237,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
238,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
239,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
240,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
241,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas
242,Classified,SGI,"Rackable(tm) C2005-TY2 Cluster, Xeon E5630 quad core 2.53 GHz, Gigabit Ethernet",United States,2010,9520,41290,96342.4,1601180,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2530,4,Rackable Cluster,Rackable(tm) C2005-TY2 Cluster,Linux,Cluster,Classified,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
243,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
