Rank,Site,Manufacturer,Computer,Country,Year,Total Cores,Rmax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Processor Speed (MHz),Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
277,NASA/Goddard Space Flight Center,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2009,4128,38990,46234,1190000,0,144.48,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Aerospace,Infiniband,Infiniband,North America,Americas
278,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7280,38932.1,73673.6,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
279,National Astronomical Observatory of Japan,Self-made,"GRAPE-DR accelerator Cluster, Infiniband",Japan,2010,6400,38850,81920,409600,0,45.05,Others,Others GRAPE-DR processor,400,16,NOW - mixed processors,GRAPE-DR cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
280,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, Infiniband",United States,2009,4100,38847.2,49200,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,North America,Americas
281,Network Company (B),IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",United States,2010,7128,38790,76013,0,0,312.74,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
282,Financial Institution,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",Japan,2010,7056,38790,75245.2,0,0,309.58,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
283,Financial Institution,IBM,"iDataPlex, Xeon E55xx QC 2.66 GHz, GigE",United States,2010,6824,38790,72771.1,0,0,220.5,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
284,DOE/SC/Argonne National Laboratory,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,4032,38659.3,42997.2,0,0,132.3,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
285,E-Commerce,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, GigEthernet",United States,2010,6696,38651.5,67763.5,0,0,219.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
286,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2009,6048,38530.9,72576,0,0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
287,Saudi Aramco,DELL\ACS,"PowerEdge 1950, Xeon 53xx 3 GHz, Infiniband",Saudi Arabia,2009,4096,38490,49152,700000,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,4,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Industry,Energy,Infiniband,Infiniband DDR,Western Asia,Asia
288,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",United States,2010,6804,38325.1,72394.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
289,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,6160,38312.5,72195.2,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
290,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,4032,38306,45158.4,0,0,141.12,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
291,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,4032,38306,45158.4,0,0,141.12,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
292,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,4032,38306,45158.4,0,0,141.12,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
293,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,4032,38306,45158.4,0,0,141.12,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
294,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,4032,38306,45158.4,0,0,141.12,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
295,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,4032,38306,45158.4,0,0,141.12,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
296,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Spain,2009,4864,38292.4,48640,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Information Processing Service,Infiniband,Infiniband,Southern Europe,Europe
297,"Gdansk University of Technology, CI Task",ACTION,ACTION Cluster Xeon E5345 Infiniband,Poland,2008,5336,38170,49731,760000,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,ACTION Cluster,ACTION Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
298,Center for Development of Advanced Computing (C-DAC),Hewlett-Packard,"PARAMcluster, Xeon 73xx 2.93 Ghz, Infiniband",India,2008,4608,38100,54005.8,0,0,0,Intel EM64T,Intel EM64T Xeon 73xx (Tigerton),2930,4,HP Cluster Platform 3000,HP DL580 Cluster,Linux,Cluster,Research,Research,Infiniband,Infinband DDR 4x,South-central Asia,Asia
299,Banking,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Russia,2009,6600,38097.3,66792,0,0,208.67,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
300,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 4000 BL465c G5, Opteron Six Core 2.6 GHz, GigEthernet",United States,2010,6912,38039.7,71884.8,0,0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
301,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5440 2.83 GHz, Infiniband",United States,2009,4248,37947.1,48087.4,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Service,Infiniband,Infiniband,North America,Americas
302,Financial Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.93Ghz, Infiniband",United States,2010,4096,37904.3,48005.1,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas
303,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2010,6656,37512.4,70819.8,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
304,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2010,6656,37512.4,70819.8,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
305,Classified,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Russia,2010,6496,37497,65739.5,0,0,285.01,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Classified,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
306,Lockheed Martin,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2010,4376,37476,46665.7,0,0,175.8,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
307,Lockheed Martin,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2010,4376,37476,46665.7,0,0,175.8,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas
308,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.83 GHz, GigEthernet",United States,2009,6240,37474.2,70636.8,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
309,Fermi National Accelerator Laboratory,Koi Computers,"Koi 1021TM-INF+B Twin, AMD QC 2.1GHz, Infiniband",United States,2009,6720,37420,56448,820000,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,KOI Cluster,Koi 1021TM-INF+B Twin,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
310,Automotive Company,Hewlett-Packard,"Cluster Platform DL4x170h Xeon E5550 QC 2.66, Infiniband",Japan,2009,4592,37390,48858,1226663,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
311,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,5976,37193.9,70038.7,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
312,Semiconductor Company (Q),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2010,5976,37193.9,70038.7,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
313,PCSS Poznan,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E5530 2.4 Ghz, Infiniband QDR",Poland,2010,4616,37179.1,44313.6,0,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
314,Engineering Company,Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, Infniband DDR",Germany,2008,5120,37153.2,48250.9,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Automotive,Infiniband,Infinband DDR 4x,Western Europe,Europe
315,Compute Canada/WestGrid/Manitoba,SGI,"Rackable(tm) C2112-4TY14 Cluster, Xeon X5650 2.66 GHz 6-core,  Infiniband",Canada,2010,3792,37050,40346.9,1236480,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Rackable Cluster,Rackable(tm) C2112-4TY14 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
316,Logistic Services (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Germany,2009,5808,37035.3,69696,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
317,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2009,7504,36926.3,69937.3,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
318,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2009,7504,36926.3,69937.3,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
319,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2009,7504,36926.3,69937.3,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
320,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.83 GHz, GigEthernet",United Kingdom,2010,6144,36911,69550.1,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Retail,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
321,Financial Institution,Hewlett-Packard,"Cluster Platform 4000 BL685c, Opteron QC 2.2GHz, Infiniband",United States,2009,5336,36900.2,46956.8,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c,Linux,Cluster,Industry,Finance,Infiniband,Infinband DDR 4x,North America,Americas
322,DOE/SC/LBNL/NERSC,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,4000,36856.4,42656,0,0,129.25,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
323,Turboinstitute,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, Infiniband",Slovenia,2008,4096,36752.5,49152,0,0,162.49,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
324,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2010,6352,36665.8,64282.2,0,0,278.69,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
325,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2010,6352,36665.8,64282.2,0,0,278.69,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
326,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2010,6352,36665.8,64282.2,0,0,278.69,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
327,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2010,6352,36665.8,64282.2,0,0,278.69,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,xSeries x3650M2 Cluster Xeon QC,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
328,Lawrence Livermore National Laboratory,Appro International,Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,United States,2007,9216,36620,44240,1021440,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Appro XtremeServer,Appro XtremeServers,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas
329,IT Services,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Russia,2010,6344,36619.6,64201.3,0,0,200.57,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
330,Irish Centre for High-End Computing,SGI,"SGI Altix ICE 8200EX, Xeon Westmere six-core 2.66 GHz",Ireland,2010,3840,36560,40857.6,931560,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
331,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
332,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
333,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
334,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
335,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
336,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
337,Geoscience (P),IBM,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",United States,2010,3528,36490.6,41348.2,0,0,110,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
338,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",Spain,2009,7392,36390.6,68893.4,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe
339,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United Kingdom,2010,5840,36366.1,68444.8,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
340,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon 5430 2.66 GHz, GigE",France,2010,6400,36104.5,68096,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
341,IT Service Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United States,2009,6816,36081.7,68160,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
342,Entertainment Company,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, GigE",United States,2009,5632,35936.8,67584,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Entertainment,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
343,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",United States,2010,6368,35928.3,67755.5,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000SL,Cluster Platform SL160z,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
344,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2010,6216,35880.8,62905.9,0,0,196.53,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
345,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2010,6216,35880.8,62905.9,0,0,196.53,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
346,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2010,6216,35880.8,62905.9,0,0,196.53,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
347,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2010,6216,35880.8,62905.9,0,0,196.53,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
348,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",Denmark,2010,6354,35851.2,67606.6,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
349,HHMI - Janelia Farm Research Campus,Dell,"Dell Poweredge R610, Xeon X5550 2.66 Ghz, 10G Ethernet",United States,2010,4000,35810,42560,1200000,325000,320,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,Dell PowerEdge Cluster,PowerEdge R610 Cluster,Linux,Cluster,Academic,Medicine,Gigabit Ethernet,10G Ethernet,North America,Americas
